5.2,struggle_a
.6,struggle_b
.6,struggle_a
.6,struggle_b
.6,struggle_a
.6,struggle_b
.6,struggle_a
.6,strug_thin_b
.6,strug_thin_a
.6,strug_thin_b
.6,strug_thin_a
.6,strug_thin_b
.6,strug_thin_a
.6,strug_thin_b
.45,strug_thin_a
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
0.05,strug_shk_a
0.05,strug_shk_b
5,rock