.25,0,.8,.35,0,.0,.6
.25,.2125,.8,.35,.2125,.0,.15
.25,.31875,.8,.35,.31875,.0,.15
.25,.372,.8,.35,.372,.0,.15
.25,.38,.8,.35,.38,.0,.05
.25,.34,.8,.35,.34,.0,.05
.25,.38,.8,.35,.38,.0,.05
.25,.34,.8,.35,.34,.0,.05
.25,.38,.8,.35,.38,.0,.05
.25,.34,.8,.35,.34,.0,.05
.25,.38,.8,.35,.38,.0,.05
.25,.34,.8,.35,.34,.0,.05
.25,.38,.8,.35,.38,.0,.05
.25,.34,.8,.35,.34,.0,.05
.25,.38,.8,.35,.38,.0,.05
.25,.34,.8,.35,.34,.0,.05
.25,.38,.8,.35,.38,.0,.05
.25,.34,.8,.35,.34,.0,.05
.25,.38,.8,.35,.38,.0,.05
.25,.34,.8,.35,.34,.0,.05
.25,.38,.8,.35,.38,.0,.05
.25,.34,.8,.35,.34,.0,.05
.25,.38,.8,.35,.38,.0,.05
.25,.34,.8,.35,.34,.0,.05
.25,.38,.8,.35,.38,.0,.05
.25,.34,.8,.35,.34,.0,.05
.25,.38,.8,.35,.38,.0,.05
.25,.34,.8,.35,.34,.0,.05
.25,.38,.8,.35,.38,.0,.05
.25,.34,.8,.35,.34,.0,.05
.25,.38,.8,.35,.38,.0,.05
.25,.34,.8,.35,.34,.0,.05
.25,.38,.8,.35,.38,.0,.05
.25,.34,.8,.35,.34,.0,.05
.25,.38,.8,.35,.38,.0,.05
.25,.34,.8,.35,.34,.0,.05
.25,.38,.8,.35,.38,.0,.05
.25,.34,.8,.35,.34,.0,.05
.25,.38,.8,.35,.38,.0,.05
.25,.34,.8,.35,.34,.0,.05
.25,.38,.8,.35,.38,.0,.05
.25,.34,.8,.35,.34,.0,.05
.25,.38,.8,.35,.38,.0,.05
.25,.34,.8,.35,.34,.0,.05
.25,.28,.8,.35,.28,.0,.8
.25,.50,.8,.35,.50,.0,.8
.25,.56,.8,.35,.56,.0,.8
.25,.35,.8,.35,.35,.0,.65
.25,.85,.8,.35,.85,.0,.45
.25,.85,.8,.35,.85,.0,600